date,product,category,region,customer,revenue,units,status
2024-01-05,Laptop Pro,Electronics,North,Alice Corp,1200,2,completed
2024-01-12,Office Chair,Furniture,South,Bob Ltd,350,3,completed
2024-01-20,Webcam HD,Electronics,East,Carol Inc,180,5,pending
2024-01-28,USB Hub,Accessories,West,Dave Co,90,12,completed
2024-02-03,Laptop Pro,Electronics,West,Dave Co,2400,4,completed
2024-02-14,Standing Desk,Furniture,North,Eve LLC,620,2,completed
2024-02-22,Noise Canceller,Electronics,South,Frank Corp,290,6,cancelled
2024-02-27,Ergonomic Mouse,Accessories,East,Grace Ltd,110,8,completed
2024-03-08,Monitor 4K,Electronics,East,Grace Ltd,980,3,completed
2024-03-15,Ergonomic Mouse,Accessories,West,Hank Inc,120,10,completed
2024-03-28,Laptop Pro,Electronics,North,Iris Co,1800,3,completed
2024-03-31,USB Hub,Accessories,South,Jake LLC,75,10,completed
2024-04-05,Office Chair,Furniture,South,Jake LLC,700,6,pending
2024-04-18,Webcam HD,Electronics,East,Kate Corp,240,8,completed
2024-04-25,USB Hub,Accessories,West,Leo Ltd,90,12,completed
2024-04-30,Monitor 4K,Electronics,North,Mia Inc,980,3,completed
2024-05-02,Monitor 4K,Electronics,North,Mia Inc,1300,4,completed
2024-05-14,Standing Desk,Furniture,South,Ned Co,930,3,completed
2024-05-20,Laptop Pro,Electronics,East,Olivia LLC,3000,5,completed
2024-05-25,Noise Canceller,Electronics,West,Paul Corp,290,6,completed
2024-06-07,Ergonomic Mouse,Accessories,West,Paul Corp,200,18,completed
2024-06-15,Noise Canceller,Electronics,North,Quinn Ltd,580,12,completed
2024-06-23,USB Hub,Accessories,South,Rose Inc,150,20,pending
2024-06-28,Laptop Pro,Electronics,East,Sam Co,1800,3,completed
2024-07-01,Monitor 4K,Electronics,East,Sam Co,1960,6,completed
2024-07-12,Office Chair,Furniture,West,Tina LLC,420,4,completed
2024-07-19,Laptop Pro,Electronics,North,Uma Corp,2400,4,completed
2024-07-25,Webcam HD,Electronics,South,Vince Ltd,240,8,completed
2024-08-04,Standing Desk,Furniture,South,Vince Ltd,1240,4,completed
2024-08-17,Webcam HD,Electronics,East,Wendy Inc,360,12,cancelled
2024-08-26,Ergonomic Mouse,Accessories,West,Xena Co,280,25,completed
2024-08-30,Office Chair,Furniture,North,Yale LLC,350,3,completed
2024-09-03,Noise Canceller,Electronics,North,Yale LLC,870,18,completed
2024-09-16,USB Hub,Accessories,South,Zara Corp,210,28,completed
2024-09-25,Monitor 4K,Electronics,East,Aaron Ltd,2450,7,pending
2024-09-30,Laptop Pro,Electronics,West,Beth Inc,1200,2,completed
2024-10-08,Laptop Pro,Electronics,West,Beth Inc,3600,6,completed
2024-10-14,Office Chair,Furniture,North,Carl Co,560,5,completed
2024-10-22,Standing Desk,Furniture,South,Dana LLC,1550,5,completed
2024-10-29,Ergonomic Mouse,Accessories,East,Eli Corp,200,18,completed
2024-11-05,Webcam HD,Electronics,East,Eli Corp,480,16,completed
2024-11-18,Ergonomic Mouse,Accessories,West,Faye Ltd,340,30,completed
2024-11-28,Noise Canceller,Electronics,North,Gary Inc,1160,24,completed
2024-11-30,Monitor 4K,Electronics,South,Helen Co,980,3,pending
2024-12-05,USB Hub,Accessories,South,Helen Co,270,36,pending
2024-12-14,Monitor 4K,Electronics,East,Ivan LLC,2940,9,completed
2024-12-23,Laptop Pro,Electronics,West,Jane Corp,4200,7,completed
2024-12-31,Standing Desk,Furniture,North,Karl Ltd,930,3,completed
2025-01-08,Office Chair,Furniture,North,Karl Ltd,700,7,completed
2025-01-19,Standing Desk,Furniture,South,Lena Inc,1860,6,completed
2025-01-28,Webcam HD,Electronics,West,Max Co,360,12,completed
2025-02-04,Laptop Pro,Electronics,East,Max Co,5000,8,completed
2025-02-17,Noise Canceller,Electronics,West,Nora LLC,1450,30,completed
2025-02-25,USB Hub,Accessories,North,Owen Corp,210,28,completed
2025-03-01,Monitor 4K,Electronics,North,Owen Corp,3430,11,completed
2025-03-14,Ergonomic Mouse,Accessories,South,Pam Ltd,420,38,completed
2025-03-22,Office Chair,Furniture,East,Quinn Inc,700,7,completed
2025-04-06,Webcam HD,Electronics,East,Quinn Inc,600,20,pending
2025-04-15,Laptop Pro,Electronics,North,Rex Co,2400,4,completed
2025-04-22,USB Hub,Accessories,West,Rex Co,330,44,completed
2025-05-10,Laptop Pro,Electronics,North,Sue LLC,6000,10,completed
2025-05-18,Standing Desk,Furniture,South,Tara Ltd,1550,5,completed
2025-05-25,Monitor 4K,Electronics,East,Uma Inc,2940,9,completed
2025-06-02,Noise Canceller,Electronics,West,Vick Co,1160,24,completed
